stage,class,count,folder
raw,attentive,414,dataset/raw\attentive
raw,phone,414,dataset/raw\phone
raw,laptop,513,dataset/raw\laptop
raw,sleeping,353,dataset/raw\sleeping
raw,distracted,451,dataset/raw\distracted
augmented,attentive,1242,dataset/augmented\attentive
augmented,phone,1242,dataset/augmented\phone
augmented,laptop,1539,dataset/augmented\laptop
augmented,sleeping,1059,dataset/augmented\sleeping
augmented,distracted,1353,dataset/augmented\distracted
split_train,attentive,828,dataset/split/train\attentive
split_train,phone,828,dataset/split/train\phone
split_train,laptop,1026,dataset/split/train\laptop
split_train,sleeping,706,dataset/split/train\sleeping
split_train,distracted,902,dataset/split/train\distracted
split_val,attentive,207,dataset/split/val\attentive
split_val,phone,207,dataset/split/val\phone
split_val,laptop,256,dataset/split/val\laptop
split_val,sleeping,176,dataset/split/val\sleeping
split_val,distracted,225,dataset/split/val\distracted
split_test,attentive,207,dataset/split/test\attentive
split_test,phone,207,dataset/split/test\phone
split_test,laptop,257,dataset/split/test\laptop
split_test,sleeping,177,dataset/split/test\sleeping
split_test,distracted,226,dataset/split/test\distracted
